actividades,categorias,descripcion,precio
Ruta de misterios y leyendas por Santa Cruz de Tenerife,Tours a pie,"Disfruta de una fantástica noche de miedo, paisajes y misterios en un lugar lleno de leyendas, una  ruta... Más información",39.0
Parque Nacional del Teide y norte de la isla desde Santa Cruz de Tenerife,Excursiones de un día,"Nuestra primera parada será en la ciudad de La Laguna: antigua capital de la isla, segunda parada en el... Más información",60.0
Tour por Santa Cruz de Tenerife con recogida desde el sur,Visitas Guiadas,En esta visita podrá visitar las mejores tiendas de Santa Cruz o simplemente pasear por esta bella ciudad... Más información,18.35
"La Laguna, Tangana y Santa Cruz desde Puerto de la Cruz",Excursiones de un día,"Descubra la  belleza natural de La Laguna, Tangana y Santa Cruz desde Puerto de la Cruz... Más información",33.9
Visita guiada a pie por el barrio judío de Santa Cruz de Sevilla,Tours a pie,"Contemple  el barrio judío de Sevilla en un tour guiado a pie de 1,15 horas aproximadamente, paseara por... Más información",14.85
Traslados a la ciudad de Puerto de la Cruz,Excursiones de un día,"Trayecto en un cómodo autobús con aire acondicionado, a la ciudad de Puerto de la Cruz, en el norte de... Más información",19.25
"Visita guíada por Santander, 1941 el gran incendio",Tours a pie,"Hay muchas maneras de conocer la capital de Cantabria, Santander... Más información",10.0
Ruta privada de Semana Santa en Sevilla,Visitas Guiadas,"Haga la fantástica ruta de Semana Santa en Sevilla, visite las iglesias más bella  de la ciudad y el... Más información",160.0
Excursión de medio día por la ciudad de Santiago y Santa Lucía,Excursiones de un día,"Salida desde su hotel en Santiago para comenzar el recorrido hacia el centro de la ciudad, donde conocerá... Más información",35.0
Visita guiada de la Última Cena y Santa Maria delle Grazie,Visitas Guiadas,"Sigue los pasos del gran  Leonardo da Vinci  en Milán, recorriendo durante  1 hora y 15 minutos  "" La... Más información",97.0
Excursión en bicicleta Cuevas del Castillo y Arte Paleotitico,Tours en Bicicleta,"Excursión de un día para visitar las famosas cuevas de ""El Castillo"" y ""Las Monedas"" en Puente Viesgo y... Más información",65.0
"Concierto de música clásica en la iglesia Santa Ana, Mozart, Beethoven o Schubert",Espectáculos,Concierto de música clásica en la iglesia Santa Ana de Viena... Más información,33.0
Excursión a la región de Collados del Asón y experiencia en canoa,Actividades Acuáticas,Saldremos de Santander para visitar la cueva de Cullalvera o la cueva de Covalanas (según disponibilidad)... Más información,120.0
Concierto de Guitarra Española en la Basílica Santa María del Pi,Entradas y Atracciones,Disfrute de un concierto de guitarra clásica de 1 hora en la iglesia de Santa María del Pi en pleno... Más información,25.0
Bautismo de buceo en Santa Ponsa,Actividades Acuáticas,"Con este curso rápido de buceo para principiantes, aprenderá a respirar bajo el agua y se sentirás... Más información",117.9
Billetes para el teleférico de Fuente Dé,Entradas y Atracciones,Entradas para el Teleférico de Fuente... Más información,20.0
Alquiler de kayak o paddle surf en Santa Ponça,Actividades Acuáticas,"Disfrute con el alquiler de Kayak o Paddle, que nos llevará en poco tiempo a una espectacular zona virgen... Más información",15.5
Traslados desde el Aeropuerto de Santander,Traslados Aeropuertos,"Servicio de transfer en Santander puerta a puerta del aeropuerto al centro y viceversa, fácil y cómodo... Más información",26.0
"Tour de medio día por la Mezquita Azul, Santa Sofía y el Gran Bazar",Visitas Guiadas,"Disfrute de un tour de medio día por Estambul, con una extensa visita guiada a pie... Más información",72.8
Ruta especial: Semana Santa en Sevilla,Visitas Guiadas,"Visite la Semana Santa con nosotros, en este tour a pie, conocerá esta vieja tradición Sevillana... Más información",17.8
Fiesta Gaucha en Estancia Santa Susana,Espectáculos,"Tour privado a un rancho tradicional y típico de Argentina, donde serás recibido con empanadas (pastel... Más información",238.95
"Caminata por los Picos de Europa, visita a Potes y circuito Spa",Excursiones de un día,"Saldremos desde Santander en dirección al  Teleférico de Fuente Dé, donde subiremos al teleférico, para... Más información",139.0
Sabores de Cantabria,Experiencias Gastronómicas,Estimule sus cinco sentidos con esta excursion: le encantará el silencio y la paz de los campos de viñedos... Más información,146.95
Palacio de Topkapi y las tumbas del sultán en Santa Sophia,Visitas Guiadas,"Visite  el Palacio de Topkapi y las tumbas del sultán en Santa Sophia, en este tour de medio dia por... Más información",99.25
Excursión a Potes y al Monasterio de Santo Toribio de Liébana,Excursiones de un día,Viajaremos de Santander hacia Potes (capital de la región de Liébana) a las 9:00 A... Más información,154.95
"Santa Teresa, Lapa, Cinelândia con viaje en tranvía y la escalera de Selarón",Tours a pie,Conozca muchos de los lugares  tradicionales de Río de Janeiro: comience con un viaje en tranvía desde el... Más información,42.3
Tour privado por Cantabria con recogida,Excursiones de un día,"Disfrute de un gran día descubriendo Cantabria deteniéndose en los puntos deseados, con un vehículo con... Más información",130.0
Excursión al Parque Natural de Cabarceno,Parques de Atracciones,Saldremos de Santander hacia el Parque de Cabárceno en una furgoneta con aire acondicionado... Más información,68.0
Excursión a la Cueva de el Soplao en grupo pequeño,Excursiones de un día,"La cueva de El Soplao,  por su valor geológico es una de las cuevas más importantes de Europa... Más información",55.0
Bosque de Tijuca en Jeep y tour al barrio Santa Teresa,Excursiones de un día,"Suba a un jeep para disfrutar de una excursión por la mañana en el bosque de Tijuca,  conocido como Parque... Más información",50.8
Excursión en autobús con paradas libres por Santander,Tours en Bus turístico,La mejor forma de ver Santander es en un autobús turístico de dos pisos con paradas libres... Más información,20.8
Visita a una fabrica de anchoas en Santoña y viaje en barco,Excursiones de un día,"En esta excursión desde Santarder, descubra cómo se hacen las famosas anchoas de Santoña visitando una... Más información",84.15
Visita guiada a Comillas y al Capricho de Gaudí en grupo pequeño,Tours a pie,"Comillas, es una ciudad que abarca todos los elementos necesarios para satisfacer sus intereses culturales y... Más información",84.15
Excursión a Santillana del Mar y Altamira en grupos pequeños,Excursiones de un día,"Saldremos desde Santander hacia Santillana del Mar, uno de los pueblos más bellos de España... Más información",77.45
Entrada al Capricho de Gaudí en Comillas,Entradas y Atracciones,"Entradas con opción de visita guiada al Capricho de Gaudí, en... Más información",8.05
Entrada y recorrido guiado por la cueva El Soplao,Entradas y Atracciones,Entrada y visita guiada a la Cueva del... Más información,17.35
Excursión a los Picos de Europa y Potes,Excursiones de un día,"Lo recogeremos en su hotel en Santander, para viajar a los Picos de Europa... Más información",77.0
Entrada al Parque Natural de Cabárceno,Parques de Atracciones,Entrada para el parque de la Naturaleza de... Más información,31.8
Vuelo en parapente en tándem con traslados desde el sur de Tenerife,Tours aéreos,"¡Vuele como un pájaro! Sin motores, sin ruido... Más información",109.0
Inmersiones para buzos certificados desde Puerto Colon,Actividades Acuáticas,Únase a este  viaje fantástico de buceo en Puerto Colón... Más información,49.45
Viaje en barco y bautismo de buceo,Actividades Acuáticas,"Si siempre ha querido practicar el buceo y descubrir las inmensas profundidades del mar, esta es su... Más información",44.5
Crucero en velero de lujo desde Puerto Colón,Paseos en barco,"Suba a bordo de este velero de lujo y disfrute de un crucero incomparable, y disfrute de sensacionales vistas... Más información",55.25
Entrada a Bodegas Monje de Tenerife con visita guiada y catas de vinos y quesos,Experiencias Gastronómicas,"Est tour, incluye una visita guiada a Bodegas Monje, con  una cata de cuatro vinos con cuatro quesos de las... Más información",30.85
Avistamiento de Cetáceos en Catamarán Royal Delfín Tenerife,Paseos en barco,Disfrute de un agradable paseo en un moderno catamarán con visión submarina y explore la fauna marina del... Más información,41.05
Traslados desde los Aeropuertos de Tenerife,Traslados Aeropuertos,"Servicio de transfer en Tenerife puerta a puerta del aeropuerto al centro y viceversa, fácil y cómodo... Más información",31.0
Avistamiento de delfines y ballenas en un lujoso crucero con traslados,Paseos en barco,"Una forma lujosa de ver ballenas y delfines, sin multitudes, en el Crucero Royal Delfín... Más información",46.4
Excursión privada a Garachico e Icod,Entradas y Atracciones,Vea un símbolo  de Tenerife mientras aprende sobre la interesante naturaleza de las islas... Más información,84.25
Entradas a Siam Park,Entradas y Atracciones,"Disfrute de entradas al espectacular Siam Park y pase un dia inolvidable en familia al reino acuático, donde... Más información",41.7
Atardecer y estrellas del Teide,Excursiones de un día,"Nos dirigimos a continuación al Parque Nacional Teide a través del  bosque de La Esperanza, cuando... Más información",69.45
Entrada al Loro Parque con traslados desde el sur,Entradas y Atracciones,"Durante su estancia en Tenerife, visite el  Loro Parque, la divertida embajada de los animales salvajes... Más información",67.05
Tour gastronómico privado por Masca,Excursiones de un día,"En este Tour, disfrutará de una divertida visita guiada a una finca bananera, con cócteles de bienvenida,... Más información",97.1
"Excursión guiada privada al parque rural de Anaga, con recogida",Visitas Guiadas,Descubra los espectaculares rincones escondidos de Tenerife con una excursión guiadapor el hermoso Parque... Más información,84.25
Tour de la vuelta a la isla de Tenerife,Excursiones de un día,"En este tour de vuelta a la isla visitara lugares emblemáticos de Tenerife, como La Laguna, Garachico, los... Más información",43.25
La Gomera en un día – Desde el norte de la isla,Paseos en barco,"Descubre los exuberantes valles verdes del Parque Nacional de Garajonay , el fascinante Valle de Hermigua... Más información",89.35
"Excursión de un día a la isla La Gomera desde el sur, con almuerzo",Excursiones de un día,"Visitará la hermosa isla de la Gomera, en una escapada de un día desde Arona, en el sur de Tenerife... Más información",95.05
Visita al Parque Nacional del Teide con Teleférico Opcional,Excursiones de un día,Visite durante medio día las cañadas Teide... Más información,40.2
Tenerife a la carta con vehículo privado a disposición,Excursiones de un día,"Disfrute de una excursión privada por la isla de Tenerife, con su propio guía personal... Más información",84.0
Excursión a Icod de los vinos y Garachico y Masca,Excursiones de un día,"Desde el pico más alto de la isla hasta la costa norte de la isla y de regreso, visite Icod de los Vinos,... Más información",46.05
